BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
EV97__;CH62;;;
DR40__;CH64;;;
C162__;CH65;;;
SVNH__;CH70;;;
SVNH__;CH75;;;
DV20__;CH7A;;;
EV97__;CH7B;;;
EV97__;CH80;;;
EV97__;CHIN;;;
DA40__;CHIP;;;
DV20__;CICA;;;
EV97__;CJ1;;;
TB20__;CJ6;;;
F16U__;CKUO;;;
S2PU__;CL2P;;;
F27U__;CL2T;;;
CL30__;CL30;;;
C700__;CL35;;;
L39U__;CL41;;;
C130__;CL44;;;
C130__;CL4G;;;
CL60__;CL60;;;
DR40__;CMAS;;;
P28A__;CMD1;;;
SVNH__;CN12;;;
DH8A__;CN35;;;
F900__;CNBR;;;
TEX2__;CNDR;;;
M20T__;CO50;;;
C162__;COAR;;;
SR22__;COL3;;;
S22T__;COL4;;;
C162__;COLT;;;
C160__;CONI;;;
P38U__;CORS;;;
DA42__;CORV;;;
C162__;COUG;;;
C82S__;COUR;;;
EV97__;COY2;;;
SF50__;COZJ;;;
RV14__;COZY;;;
P28R__;CP10;;;
C162__;CP13;;;
RV8U__;CP20;;;
RV14__;CP21;;;
RV8U__;CP22;;;
E300__;CP23;;;
C162__;CP30;;;
C162__;CP32;;;
MAGC__;CP75;;;
DR40__;CP90;;;
RV14__;CR10;;;
SVNH__;CRBN;;;
EV97__;CRER;;;
P750__;CRES;;;
CRJ1__;CRJ1;;;
CRJ2__;CRJ2;;;
CRJ9__;CRJ7;;;
CRJ9__;CRJ9;;;
CRJX__;CRJX;;;
C152__;CRUZ;;;
P28R__;CT4;;;
SVNH__;CTAH;;;
EV97__;CUCA;;;
M20P__;CUDA;;;
C150__;CULV;;;
C152__;CULX;;;
S2PU__;CVLP;;;
ATPU__;CVLT;;;
MAGC__;CX5;;;
M20P__;D1;;;
MAGC__;D11;;;
C150__;D139;;;
DA40__;D140;;;
EV97__;D150;;;
EV97__;D18;;;
PA34__;D21;;;
D228__;D228;;;
DV20__;D250;;;
DR40__;D253;;;
PA46__;D28D;;;
P46T__;D28T;;;
EV97__;D31;;;
D328__;D328;;;
DV20__;D4;;;
P28A__;D6;;;
MAGC__;D6CR;;;
DR40__;D8;;;
MAGC__;DA2;;;
DIMO__;DA36;;;
DA40__;DA40;;;
DA42__;DA42;;;
EV97__;DA5;;;
DA50__;DA50;;;
DA62__;DA62;;;
DA40__;DAHU;;;
C162__;DAL4;;;
DC10__;DC10;;;
P38U__;DC2;;;
S2PU__;DC3;;;
P38U__;DC3S;;;
SH36__;DC3T;;;
F27U__;DC4;;;
C160__;DC6;;;
C130__;DC7;;;
B703__;DC85;;;
DC87__;DC86;;;
DC87__;DC87;;;
BA11__;DC91;;;
A158__;DC92;;;
DC93__;DC93;;;
DC94__;DC94;;;
B712__;DC95;;;
EV97__;DDUC;;;
BE36__;DEFI;;;
C162__;DFLY;;;
PA34__;DG15;;;
DIMO__;DG1T;;;
SF25__;DG40;;;
DIMO__;DG50;;;
DIMO__;DG60;;;
DIMO__;DG80;;;
K100__;DH2T;;;
P750__;DH3T;;;
SH36__;DH4T;;;
SVNH__;DH60;;;
DR40__;DH80;;;
SVNH__;DH82;;;
SVNH__;DH83;;;
DV20__;DH84;;;
T206__;DH85;;;
C152__;DH87;;;
BE58__;DH88;;;
DA40__;DH89;;;
DH8A__;DH8A;;;
DH8C__;DH8B;;;
DH8C__;DH8C;;;
DH8D__;DH8D;;;
C182__;DH90;;;
C188__;DHA3;;;
EV97__;DHC1;;;
C188__;DHC2;;;
C182__;DHC3;;;
S2PU__;DHC4;;;
AN30__;DHC5;;;
DHC6__;DHC6;;;
AN30__;DHC7;;;
DIMO__;DIMO;;;
MAGC__;DINO;;;
SF25__;DISC;;;
SF50__;DJET;;;
EV97__;DLTA;;;
P750__;DNGO;;;
T206__;DO27;;;
DA62__;DO28;;;
DA62__;DOVE;;;
C152__;DR10;;;
P28A__;DR22;;;
C162__;DR30;;;
DR40__;DR40;;;
E500__;DT45;;;
EV97__;DTA1;;;
C162__;DTA2;;;
SVNH__;DUB2;;;
DIMO__;DUOD;;;
C162__;DV1;;;
C162__;DV2;;;
DV20__;DV20;;;
D228__;E110;;;
E120__;E120;;;
MU2U__;E121;;;
E135__;E135;;;
E145__;E145;;;
E170__;E170;;;
E190__;E190;;;
E195__;E195;;;
C27J__;E2;;;
E300__;E200;;;
RV8U__;E230;;;
E75L__;E275;;;
E290__;E290;;;
B736__;E295;;;
E300__;E300;;;
TEX2__;E314;;;
TBM9__;E350;;;
E35L__;E35L;;;
A321__;E390;;;
DC87__;E3CF;;;
B762__;E3TF;;;
PA46__;E400;;;
E45X__;E45X;;;
E500__;E500;;;
E50P__;E50P;;;
AJET__;E530;;;
E545__;E545;;;
E550__;E550;;;
E55P__;E55P;;;
DC87__;E6;;;
B737__;E737;;;
E75L__;E75L;;;
E75S__;E75S;;;
B763__;E767;;;
EA50__;EA40;;;
EA50__;EA50;;;
EV97__;EAGL;;;
C162__;EAGX;;;
DIMO__;EB29;;;
SVNH__;EBOY;;;
P46T__;EC20;;;
JS41__;EC25;;;
TBM8__;EC30;;;
BE99__;EC35;;;
BE99__;EC45;;;
BE20__;EC55;;;
JS41__;EC75;;;
C150__;ECHO;;;
RV8U__;EDGE;;;
C162__;EFOX;;;
Q9UU__;EGRT;;;
JS41__;EH10;;;
C551__;ELIT;;;
C152__;ELPS;;;
C162__;ELSP;;;
SF25__;ELST;;;
L39U__;EM10;;;
PA44__;EM11;;;
P28T__;EN28;;;
TBM8__;EPIC;;;
EV97__;EPX1;;;
RV8U__;ERAC;;;
C162__;ERCO;;;
TBM7__;ESCA;;;
MAGC__;ESCP;;;
DIMO__;ETA;;;
AJET__;ETAR;;;
F16U__;EUFI;;;
C162__;EUPA;;;
F406__;EV55;;;
EV97__;EV97;;;
BE58__;EVAN;;;
SF50__;EVIC;;;
C340__;EVOP;;;
TBM7__;EVOT;;;
C150__;EVSS;;;
K100__;EX5T;;;
E300__;EXNG;;;
BE9L__;EXPL;;;
TB20__;EXPR;;;
SVNH__;EZFL;;;
C152__;EZFT;;;
SVNH__;EZHV;;;
SVNH__;EZKC;;;
HAWK__;F1;;;
F100__;F100;;;
F16U__;F104;;;
F16U__;F106;;;
F15U__;F111;;;
A10U__;F117;;;
DV20__;F13;;;
F15U__;F14;;;
F15U__;F15;;;
C152__;F156;;;
F16U__;F16;;;
F16U__;F16X;;;
F16U__;F18;;;
F16U__;F18H;;;
F16U__;F18S;;;
E300__;F1FV;;;
F16U__;F2;;;
F15U__;F22;;;
M20P__;F260;;;
E500__;F26T;;;
F27U__;F27;;;
F28U__;F28;;;
F2TH__;F2TH;;;
DR40__;F30;;;
F16U__;F35;;;
F16U__;F4;;;
P46T__;F402;;;
F406__;F406;;;
DV20__;F41E;;;
F406__;F421;;;
AJET__;F5;;;
F50U__;F50;;;
AJET__;F5SA;;;
F50U__;F60;;;
K100__;F600;;;
MAGC__;F7;;;
F70U__;F70;;;
F16U__;F8;;;
AJET__;F86;;;
RV14__;F8L;;;
